actual,predicted
15499.0,15528.095
15524.0,15494.305
15441.0,15456.935
15242.0,15287.425
15062.0,15078.27
15063.0,15065.625
15085.0,15080.045
15453.0,15367.88
16008.0,15958.24
15873.0,15913.79
15408.0,15399.575
14452.0,14449.4
13427.0,13444.55
12604.0,12630.625
12127.0,12124.695
11815.0,11822.86
11671.0,11684.315
11868.0,11868.14
12574.0,12593.52
14134.0,14132.075
15213.0,15221.31
15261.0,15270.74
15337.0,15336.555
15399.0,15407.195
15359.0,15353.765
15401.0,15369.6
15364.0,15372.865
15260.0,15261.785
15143.0,15131.67
15028.0,15065.585
14908.0,14937.05
15091.0,15105.93
15637.0,15619.605
15581.0,15598.77
15309.0,15202.19
14353.0,14364.41
13355.0,13355.14
12510.0,12529.515
12022.0,12035.225
11753.0,11761.915
11530.0,11606.965
11744.0,11716.035
12355.0,12384.755
13861.0,13823.775
15040.0,14892.17
15295.0,15225.52
15491.0,15444.2
15539.0,15535.305
15530.0,15561.035
15571.0,15522.455
15507.0,15521.55
15397.0,15399.095
15071.0,15146.155
15134.0,15083.975
14942.0,14989.085
15103.0,15048.335
15460.0,15419.195
15198.0,15283.295
14782.0,14790.465
14057.0,14055.235
13084.0,13109.975
12200.0,12228.12
11676.0,11663.98
11297.0,11313.81
11036.0,11078.445
10996.0,10985.315
11212.0,11208.745
11683.0,11645.345
12416.0,12373.51
13002.0,13011.285
13572.0,13559.42
14004.0,13985.975
14066.0,14182.16
13948.0,13988.14
13763.0,13812.17
13572.0,13577.79
13549.0,13533.735
13577.0,13574.325
13518.0,13554.955
13684.0,13626.58
13978.0,13973.64
13929.0,13997.395
13519.0,13572.805
12902.0,12908.56
12187.0,12179.63
11433.0,11488.155
10318.0,10695.805
10263.0,10250.04
10296.0,10270.59
10508.0,10474.075
10975.0,10882.92
11548.0,11459.935
12202.0,12168.94
12671.0,12694.73
12770.0,12832.385
12821.0,12847.69
12822.0,12834.19
12902.0,12867.175
12802.0,12824.375
12688.0,12723.085
12830.0,12810.7
13380.0,13250.07
14067.0,13841.545
13930.0,14046.515
13843.0,13971.55
13341.0,13407.175
12831.0,12821.21
12181.0,12164.77
11730.0,11732.79
11434.0,11442.76
11383.0,11307.905
11372.0,11369.625
11697.0,11664.22
12751.0,12668.835
14513.0,14340.235
15300.0,15327.575
15467.0,15446.705
15630.0,15589.205
15782.0,15748.44
15452.0,15566.79
15344.0,15355.055
15312.0,15298.875
15130.0,15153.21
15032.0,15004.945
15232.0,15331.53
15610.0,15577.845
16072.0,16070.625
15899.0,15939.31
15774.0,15827.12
15439.0,15405.71
14194.0,14302.23
13165.0,13218.905
12494.0,12491.55
11988.0,12002.6
11802.0,11772.865
11803.0,11773.05
11951.0,11937.095
12788.0,12761.1
14132.0,14146.74
14760.0,14924.575
15083.0,15073.0
15266.0,15222.555
15600.0,15485.325
15737.0,15699.885
15904.0,15833.405
15856.0,15860.315
15820.0,15820.6
15689.0,15740.98
15743.0,15826.475
16257.0,16192.16
16627.0,16546.75
16237.0,16338.91
15954.0,16133.195
15173.0,15271.9
14194.0,14213.485
13183.0,13259.195
12529.0,12537.33
12096.0,12105.445
11918.0,11888.965
11887.0,11862.1
12142.0,12094.55
12907.0,12898.985
14509.0,14495.39
15250.0,15295.125
15341.0,15364.505
15672.0,15577.965
15818.0,15794.95
